Energi (kal),Protein (g),Lemak (g),Gula (g),Serat (g),Natrium (mg),Grade
48,2.4,0,8.8,2.4,0.08636,A
48,1.6,0,7.2,1.6,0.78,A
64,1.6,0,13.6,1.6,0.0775,B
64,0.8,0,11.2,0,0.7075,B
56,1.6,0,10.4,1.6,0.66,A
457,5.71,14.29,51.43,8.6,0.8025,D
324,13.24,6.62,27.94,1.5,0.625,C
420,20,1,60,6,0,C
0,0,0,3.57,0,0,B
345,9.09,0,83.64,9.1,0.5,C
393,7.14,0,78.57,7.1,2.8125,C
393,7.14,0,78.57,7.1,3.9275,C
375,7.5,0,80,10,3.3325,C
322,8.47,0,77.97,11.9,1.855,C
393,7.14,0,78.57,7.1,1.9825,C
4.395604396,14.28571429,3.296703297,16.48351648,1.098901099,1.4275,B
141,2.35,0,24.71,2.4,1.37,B
129.4117647,2.352941176,0,23.52941176,2.352941176,0.75,B
130.952381,2.380952381,1.785714286,25,1.19047619,1.57,C
163,2.33,1.16,23.26,3.5,2.42,B
130.952381,2.380952381,1.19047619,25,2.380952381,1.1061,C
130.952381,2.380952381,1.19047619,25,2.380952381,0.9275,C
130.952381,2.380952381,1.785714286,25,1.19047619,1.285,C
150,2,0.5,21,0,2.25,C
118,0,0,27.06,0,1,C
106,0,0,25.88,1.2,0.8984375,C
106,0,0,25.88,1.2,1.1675,C
106,0,0,24.71,2.4,0,C
230,7.96,1.33,34.51,3.5,0,B
252,7.87,5.51,30.71,0.8,0,C
252,8.66,4.72,31.5,0.8,2.655,C
252,7.87,5.51,32.28,1.6,2.655,C
268,8.66,6.3,31.5,1.6,6.945,C
357,10.71,0,75,10.7,0,C
365.8536585,7.317073171,0,85.36585366,1.219512195,0,C
375,7.5,0,87.5,2.5,0.025,C
393,7.14,3.57,71.43,7.1,0.035,C
357,7.14,0,78.57,7.1,0.025,C
357,7.14,0,78.57,7.1,0,C
400,0,3.333333333,6.666666667,0,1.6175,C
166.6666667,0,0,33.33333333,0,1.6475,C
166.6666667,0,0,20,0,1.6175,C
10.1010101,0.505050505,0,2.02020202,1.01010101,1.1175,A
30,1.01,0,5.05,2,21.785,A
30,1.01,0,5.05,1,13.4375,B
400,6.67,1.67,60,6.7,0.9925,C
500,16.67,5,43.33,6.7,0,C
483,10.34,12.07,55.17,3.4,0,D
408,2.82,6.34,54.93,1.4,0,D
437,2.82,7.04,56.34,0,0,E
333,0,3.33,13.33,0,0,C
333,0,3.33,13.33,0,0,C
32.25806452,0,0,0,0,0,B
42,1.67,0,5,0,1.3575,B
50,1.67,0.83,6.67,0,0.025,B
460,8,1,74,6,0,C
460,8,1,74,6,0.543478261,C
460,8,1,72,6,0.1075,C
428.5714286,42.85714286,14.28571429,0,0,0.1075,C
600,20,6.67,23.33,10,0.1075,C
500,6.666666667,3.333333333,63.33333333,3.333333333,0.416666667,D
438,6.25,1.56,75,3.1,0.417,C
450,0,0,70,0,0.9375,D
42,0,0,11.55,0,1.2,B
48,0,0,12.96,0,0,B
54,0,0,13.52,0,0,C
48,0,0,12.96,0,0,B
42,0,0,11.83,0,1.9275,B
54,0,0,13.52,0,1.8575,C
54,0,0,14.65,0,1.9275,C
0,0,0,0,0,1.8575,B
482.7586207,3.448275862,8.620689655,72.4137931,3.448275862,1.945,D
500,6.25,6.25,62.5,0,2.5,E
466.6666667,6.666666667,0,73.33333333,0,1.8175,D
466.6666667,6.666666667,3.333333333,66.66666667,0,1.6125,D
500,6.25,3.125,68.75,0,1.6125,D
25,1.64,0,4.92,1.6,1.5325,A
271,11.76,2.35,25.88,1.2,1.5325,C
353,0,0,94.12,0,1.916666667,D
353,0,0,94.12,0,1.375,D
353,0,0,94.12,0,1.4475,D
353,0,0,94.12,0,1.34,D
353,0,0,94.12,0,0,D
0,0,0,0,0,1.1175,B
0,0,0,0,0,0.425,B
0,0,0,0,0,0.6375,B
129,3.23,4.84,9.68,0,0.305,C
16.52892562,0.826446281,0,3.305785124,0.826446281,0.49,A
16.52892562,0.826446281,0,3.305785124,0.826446281,0,A
228,7.02,0,45.61,1.8,0.67,C
175,7.02,0,47.37,17.5,1.4275,C
140,7.02,0,38.6,12.3,2.0525,B
246,8.77,0,49.12,1.8,1.4275,C
251.7006803,9.523809524,4.081632653,29.93197279,1.360544218,0.5625,C
0,0,0,0,0,0.6725,B
500,13.88888889,11.11111111,50,0,0.0475,E
533,16.67,5,46.67,3.3,0.6725,D
0,0,0,0,0,0.6,B
0,0,0,0,0,0.4,B
714.2857143,0,14.28571429,0,0,0.605,D
666.6666667,0,13.33333333,0,0,0.604,D
333.3333333,0,6.666666667,6.666666667,0,0.605,D
714.2857143,0,14.28571429,0,0,0.604166667,D
321.4285714,7.142857143,0,71.42857143,3.571428571,0.58,C
0,0,0,0,0,0,B
0,0,0,0,0,0.03,B
71.42857143,13.39285714,0,0,0,0.02,A
118,24.71,0,0,0,0.6,A
380.952381,23.80952381,19.04761905,0,0,0.6,C
380.952381,23.80952381,19.04761905,4.761904762,0,0.4,C
392.8571429,25,17.85714286,0,0,0.6,C
285.7142857,20,0,62.85714286,25.71428571,0.6,C
272.7272727,20.45454545,0,65.90909091,20.45454545,0.4,C
257.1428571,20,0,62.85714286,28.57142857,1.8575,C
261,21.74,0,60.87,28.3,2.0225,C
266.6666667,20,0,64.44444444,26.66666667,0.425,C
285.7142857,22.85714286,0,62.85714286,14.28571429,4.285,C
239,19.57,0,58.7,28.3,0,B
228.5714286,20,0,60,28.57142857,1.25,B
291.6666667,22.91666667,0,62.5,20.83333333,1.25,C
0,0,0,0,0,1.0625,B
0,0,0,0,0,0.89,B
0,0,0,0.42,0,1.25,B
571,7.14,10.71,50,3.6,0,D
390,0,0,95.12,0,0.765,D
500,7.14,3.57,64.29,3.6,0.352941176,C
536,3.57,3.57,53.57,3.6,0.595238095,D
536,3.57,5.36,57.14,3.6,0.93,D
400,40,20,0,0,0.327380952,C
88.49557522,18.5840708,0,0,0,0.282738095,A
225,2.5,0,52.5,5,0.595238095,C
225,2.5,0,52.5,5,0.725,C
473.6842105,15.78947368,6.578947368,47.36842105,5.263157895,0.03,D
467,6.67,8.33,56.67,3.3,0.03,D
533,13.33,10,46.67,3.3,0.03,D
448,6.9,8.62,65.52,3.4,0.03,D
457.1428571,14.28571429,7.142857143,51.42857143,5.714285714,1.1275,D
512.5,2.5,10,57.5,1.25,1.0625,E
536,3.57,3.57,53.57,3.6,0.865,D
292.45,4.72,1.89,38.68,0.94,0.885,C
320.75,4.72,1.89,44.34,1.89,1.1225,C
194,3.23,9.68,9.68,0,1.4275,D
161.29,3.23,9.68,6.45,0,1.768292683,C
354,7.69,1.54,70.77,1.5,1.4375,C
254,10.14,4.35,26.09,1.4,4.465,C
283,8.7,0,50,2.2,4.0175,C
42.85714286,0.714285714,0,10.71428571,3.571428571,3.9275,A
46,0,0,11.67,0,1.916666667,B
258,9.68,0,45.16,3.2,2.416666667,C
92,6.15,0,16.92,3.8,1.25,A
92,5.38,0,17.69,3.8,0.252525253,A
131,5.38,0,26.92,3.8,0.3525,A
131,5.38,0,27.69,3.8,0.3525,A
138,5.38,0,28.46,3.8,0.3325,A
259,11.11,0,51.85,3.7,1.75,C
316,3.51,5.26,47.37,1.8,0.43,D
316,3.51,5.26,47.37,1.8,0.67,D
316,3.51,5.26,47.37,0,0.5975,D
112,6.54,1.64,13.55,0.9,0.875,B
111,5.56,1.16,14.81,0.9,0.875,B
110,4.85,1.32,16.3,0.4,0.927419355,B
33,0,0,8.33,0,1.2075,B
33,0,0,8.75,0,1.25,B
428.5714286,42.85714286,14.28571429,0,0,1.1,C
1,0.28,0,0.28,0,1.15,B
1,0.28,0,0,0,1.2,B
1,0.28,0,0,0,4.285714286,B
115,8.85,1.77,14.16,0.2,1.8325,B
571.4285714,0,21.42857143,0,0,1.916666667,D
428.5714286,42.85714286,0,28.57142857,0,0.9775,C
567,10,16.67,50,10,0.375,D
270,9,0,54,0,0.0254,C
333,0,23.3,6.67,0,0.025,D
107,0,0,25,0,0.0508,C
243,13.51,3.38,16.22,1.4,0.025,B
47.05882353,3.529411765,0,8.235294118,3.529411765,0.0254,A
457.1428571,8.571428571,5.714285714,65.71428571,0,0.025,D
46,0.83,0,10.83,0,0.0254,B
536,3.57,10.71,53.57,0,0.025,E
536,7.14,7.14,57.14,3.6,0.862068966,D
536,7.14,8.93,53.57,3.6,1.64,D
536,7.14,10.71,50,7.1,2.5,D
536,7.14,8.93,57.14,3.6,2,D
70.7965,0,0,16.8142,0,2.34375,C
62,0,0,15.93,0.9,0.0625,B
62,0.88,0,15.04,0,1.705,C
70.79646018,0,0,16.81415929,0.884955752,0.0725,B
62,0,0,15.93,1.8,0.1475,B
857,0,92.86,0,0,0,E
238,19.05,0,59.52,28.6,0,B
250,20.45,0,63.64,27.3,0,C
238,21.43,0,59.52,28.6,0,B
238,19.05,2.38,59.52,28.6,0,C
467,6.67,16.67,66.67,6.7,0,D
380.952381,23.80952381,19.04761905,0,0,0.3225,C
393,35.71,16.07,7.14,0,0.619834711,C
338.2352941,10.29411765,2.941176471,47.05882353,1.470588235,0.619834711,C
338,10.29,2.94,47.06,1.5,0.965,C
500,7.14,3.57,64.29,3.6,0.745,C
264.1509434,9.433962264,0,52.83018868,1.886792453,0.7025,C
264,7.55,0,52.83,1.9,1.14,C
305,8.47,0,54.24,1.7,0.850340136,C
113,1.61,2.42,4.84,0,0,C
196,16.96,3.57,0,0,1.388888889,B
92,6.15,0,16.92,3.8,1.5,A
643,21.43,7.14,17.86,7.1,0,C
643,17.86,7.14,21.43,7.1,0,C
700,10,6.666666667,13.33333333,10,1.517857143,C
667,16.67,6.67,13.33,6.7,1.416666667,C
700,10,6.67,13.33,10,1750,D
667,16.67,6.67,13.33,6.7,1.517857143,C
567,20,3.33,20,13.3,3.928571429,C
202.3809524,17.85714286,1.19047619,16.66666667,1.19047619,0,B
247.0588235,11.76470588,2.941176471,14.11764706,2,0,B
0,0,0,0,0,0.848214286,B
0,0,0,0,0,1.06,B
0,0,0,0,0,1.488095238,B
0,0,0,0,0,1.607142857,B
0,0,0,0,0,1.517857143,B
0,0,0,0,0,0,B
161,7.63,4.66,9.32,0.8,0,C
0,0,0,0,0,0,B
0,0,0,0,0,0.055,B
294.1176471,0,0,58.82352941,0,0,D
292,20.83,10.42,4.17,0,0.214285714,C
133,8.67,2.33,15.33,0.7,0.0825,B
380.95,9.52,0,78.57,7.14,0,C
381,9.52,0,81,4.76,0.026041667,C
32.14285714,0.714285714,0,7.857142857,2.142857143,0,A
536,7.14,3.57,53.57,3.6,0,C
536,7.14,3.57,57.14,3.6,0,C
536,7.14,3.57,53.57,3.6,1.5175,C
536,7.14,3.57,53.57,3.6,0.4575,C
536,7.14,3.57,53.57,3.6,1.34,C
536,7.14,3.57,53.57,3.6,1.965,C
536,7.14,3.57,53.57,3.6,1.6075,C
571,3.57,3.57,46.43,3.6,5,D
536,7.14,3.57,50,3.6,0.221238938,C
536,7.14,3.57,53.57,3.6,0,C
0,0,0,0,0,0,B
56,1.61,0,9.68,2.4,0.559210526,A
190.4761905,0,0,47.61904762,0,0.375,D
190.4761905,0,0,42.85714286,0,0.6675,D
94.11764706,9.411764706,2.941176471,4.117647059,0,0.215,A
58.82352941,10,0,4.117647059,0,0.535714286,A
76.47058824,8.823529412,0,10,0,1.1875,A
80,8,0,12.67,0.7,1.965,A
80,8,0,12,0.7,0.8147,A
73,8,0,11.33,0.7,0.8147,A
80,8.67,0,12,0.7,1.5325,A
80,8,0,12.67,0.7,1.1471,A
73,8,0,11.33,0.7,2.23,A
73.33333333,8.666666667,0,10.66666667,0.666666667,1.575,A
80,8,0,11.33,0.7,1.1425,A
53,10,0,4,0.7,0,A
80,8.67,0,12,0.7,0.005,A
466.6666667,16.66666667,3.333333333,56.66666667,0,1.13,D
310,4.42,0,75.22,0,0.885,D
310,4.42,0,75.22,0,0.905,D
353,0,0,83.77,0,1.0575,D
357.14,25,17.86,7.14,0,1.02,C
393,25,17.86,3.57,0,1.0375,C
357,25,17.86,3.57,0,1.25,C
466.6666667,6.666666667,16.66666667,66.66666667,0,0.8775,E
452,6.45,16.13,70.97,1.6,1.0525,E
370,7.41,11.11,66.67,0,1.0975,E
378,0,0,91.89,2.7,0.9225,D
392.86,21.43,17.86,7.14,0,0.8575,C
285.7142857,14.28571429,0,57.14285714,14.28571429,0.815,C
33.33333333,0,0,6.666666667,0,0.0375,B
166.6666667,3.333333333,3.333333333,13.33333333,0,0.0375,C
166.6666667,3.333333333,3.333333333,13.33333333,0,5.714285714,C
357,0,0,85.71,0,0.0425,D
375,0,0,90.62,0,0.0425,D
400,0,0,100,0,0.045,D
375,0,0,100,0,0.685,D
353,0,0,88.24,0,1.607142857,D
312.5,15.625,9.375,0,0,1.964285714,C
312,15.62,9.38,3.12,0,0.25,C
83.33333333,15.47619048,0.595238095,0,0,0.375,A
107,16.07,0.89,5.36,0,0.0833,A
107.1428571,17.85714286,0,3.571428571,0,1.785,A
89.28571429,16.07142857,0.892857143,1.785714286,0,1.3175,A
89,16.07,0.89,1.79,0,0.029411765,A
89.28571429,16.07142857,0.892857143,1.785714286,0,0.857142857,A
107,17.86,0,3.57,0,0,A
83,3.33,3.33,6.67,0,3.035,C
0,0,0,0,0,2.41,B
0,0,0,33.33333333,0,3.4825,C
0,0,0,0,0,2.59,B
290,4.35,3.62,39.13,4.3,2.1425,C
500,7.14,3.57,64.29,0,0,D
268,3.57,5.36,44.64,1.8,0,D
198,3.49,5.81,25.58,0,0,C
431,8.62,1.72,62.07,6.9,0,C
83,15.48,0.6,0,0,0,A
10.20408163,0,0.408163265,0.816326531,0,0,B
6,0.41,0,1.22,0.1,1.905,B
48,0,0,11.83,0,0.5125,B
51,0,0,12.96,0,2.0825,B
39,0,0,9.58,0,0.655,B
39,0,0,9.58,0,0,B
0,0,0,100,0,1.488095238,C
536,3.57,28.57,67.86,3.6,3.3025,E
536,0,28.57,71.43,0,2.352941176,E
286,32.14,0,28.57,0,2.3525,C
246.7532468,10.38961039,4.545454545,27.92207792,1.298701299,1.965,C
372,18.6,10.47,27.91,4.7,1.08490566,C
419,16.28,11.63,23.26,2.3,1.085,D
419,16.28,11.63,23.26,4.7,0.1475,C
6.666666667,0,0,0,0,1.4125,B
0,0,0,0,0,0.2125,B
0,0,0,0,0,0.7875,B
6.666666667,0,0,0,0,0.715,B
392.86,28.57,17.86,0,0,0.715,C
393,28.57,17.86,0,0,0,C
380.95,28.57,19.05,0,0,0,C
380.95,28.57,19.05,0,0,0,C
87,8,0,14,0.7,0,A
31,0,0,8.06,0,0,B
31,0,0,8.06,0,1.726190476,B
25,0,0,6.11,0,1.058823529,B
25,0,0,6.11,0,0,B
515.1515152,6.060606061,15.15151515,51.51515152,9.090909091,0,D
484.8484848,6.060606061,15.15151515,51.51515152,9.090909091,0,D
140,3,2.5,21,4,0,B
45.83333333,0,0,10.83333333,0,0,B
45.83333333,0,0,11.66666667,0,0,B
45.83333333,0.833333333,0,10.83333333,0,1.0475,B
45.83333333,0.833333333,0,10.83333333,0,0,B
50,0.833333333,0,10.83333333,0,0,B
150,2.14,1.07,17.86,2.1,2.205882353,B
150,2.14,1.07,17.86,2.1,1.77,B
145,0.91,1.36,17.27,1.8,0.1075,C
190,1,2.5,15,2,1.391,C
200,3.57,2.14,17.14,1.4,1.25,C
200,3.571428571,2.142857143,17.14285714,1.428571429,0,C
164,2.14,1.43,20,2.1,1.34,C
164,2.14,1.43,20,2.1,1.34,C
178.5714286,2.142857143,1.428571429,22.14285714,2.142857143,1.5175,C
148,5.49,0.42,21.1,0,0.76,B
147.6793249,5.485232068,0.421940928,21.09704641,0,1.205,B
282,16.47,5.88,7.06,2.4,1.4275,B
282,16.47,5.88,7.06,2.4,1.965,B
15,1,0,3,1,2.59,A
393,21.43,17.86,3.57,0,1.875,C
393,21.43,17.86,3.57,0,1.0725,C
112.9032258,2.419354839,2.419354839,17.74193548,0,20.8325,C
333,0,0,88.33,0,0.9275,D
109.0909091,1.818181818,0.909090909,5.454545455,0,1.30952381,B
109.0909091,18.18181818,0,7.272727273,0,4.523809524,A
115.3846154,19.23076923,1.923076923,1.923076923,0,0,A
109.0909091,18.18181818,0,3.636363636,0,0,A
109.0909091,18.18181818,0,5.454545455,0,0,A
0,0,0,0,0,0.1175,B
0,0,0,0,0,0.075,B
392.8571429,3.571428571,3.571428571,85.71428571,3.571428571,0.0825,C
485,3.03,12.12,63.64,3,0.0925,E
41.66666667,0,0,10,0,0.1,B
154,3.85,0,34.62,3.8,0.0825,B
392.8571429,25,17.85714286,3.571428571,0,0.075,C
33.33333333,0,0,6.666666667,1.666666667,0.075,A
416.6666667,4.166666667,2.083333333,75,4.166666667,0.0925,C
416.6666667,8.333333333,2.083333333,75,4.166666667,0.0925,C
483.8709677,3.225806452,12.90322581,54.83870968,0,2.75,E
451.6129032,3.225806452,9.677419355,64.51612903,3.225806452,0.22,D
484.8484848,3.03030303,10.60606061,69.6969697,3.03030303,0.22,E
500,6.25,12.5,68.75,0,0.165,E
191.9191919,8.585858586,5.050505051,11.61616162,1.01010101,1.6329,C
357.1428571,12.5,0,75,3.571428571,1.4275,C
187.5,20.53571429,2.232142857,0,0,1.6075,A
177.2151899,0,15.18987342,2.53164557,0,4,D
366.6666667,0,3.333333333,16.66666667,0,2.7425,C
307.6923077,10.76923077,3.846153846,38.46153846,1.538461538,2.5,C
289,5.56,2.22,36.67,1.1,0,C
371.6814159,30.08849558,7.96460177,56.63716814,0.884955752,1.6329,D
380.5309735,2.654867257,7.96460177,57.52212389,0.884955752,21.78571429,E
500,0,0,66.66666667,0,1,D
85.71428571,10.71428571,0,6.428571429,0,1.666666667,A
4.166666667,0.833333333,0,0,0,1.666666667,B
4.08,0.816,0,0,0,0,B
166.6666667,0,0,33.33333333,0,0.0775,C
166.6666667,0,0,33.33333333,0,0,C
166.6666667,0,0,16.66666667,0,0.86,C
125,0,8.333333333,16.66666667,0,0.295,D
208.3333333,0,0,41.66666667,0,1.484375,D
285.7142857,25,10.71428571,7.142857143,0,1.9525,C
238.0952381,19.04761905,11.9047619,4.761904762,0,1.220238095,C
388.6925795,0,0,98.93992933,0,2.0525,D
466.6666667,6.666666667,1.666666667,66.66666667,0,1.875,D
0,0,0,0,0,1.785714286,B
0,0,0,0,0,1.785,B
83.70044053,9.251101322,0,8.810572687,0,1.785714286,A
285.7142857,0,0,80.95238095,0,1.875,D
4.166666667,0,0,1.25,0,0.2075,B
377.0491803,4.098360656,3.68852459,49.18032787,0.819672131,0,D
401.6393443,4.918032787,3.278688525,47.54098361,1.639344262,2.083333333,D
404.2553191,4.255319149,1.063829787,59.57446809,2.127659574,0,D
425.5319149,4.255319149,2.127659574,59.57446809,2.127659574,1.9925,D
425.5319149,4.255319149,2.127659574,59.57446809,2.127659574,2.2325,D
533.3333333,0,26.66666667,73.33333333,0,0.535,E
533.3333333,0,26.66666667,73.33333333,0,0.175,E
620,26.66666667,8.333333333,23.33333333,10,0.3675,C
562.5,15.625,7.8125,31.25,3.125,1.4575,D
562.5,15.625,7.8125,28.125,3.125,0.795918367,D
562.5,15.625,7.8125,28.125,0,0.765,D
617.6470588,23.52941176,5.882352941,17.64705882,0,0.0075,C
29.16666667,0,0,7.5,0,0.025,B
29.16666667,0,0,7.083333333,0,0.0075,B
2.824858757,0,0,0.564971751,0,0.0075,B
401.6393443,4.098360656,4.918032787,51.63934426,5.737704918,0,D
103.8461538,5.769230769,0.769230769,8.461538462,0,0,A
0,0,0,0,0,0,B
346.9387755,61.2244898,4.081632653,16.32653061,0,4.465,C
20.66115702,0.826446281,0,4.132231405,0.826446281,1.412337662,A
70,6,1.5,0,0,0.93,A
36.8852459,0,0,9.016393443,0.819672131,1.105,B
24.59016393,0.819672131,0,6.557377049,0.819672131,1.0475,B
48.38709677,0.806451613,0,11.29032258,0.806451613,0,B
48.38709677,0,0,12.90322581,0.806451613,0,B
48.38709677,0,0,12.09677419,1.612903226,0,B
48.38709677,0.806451613,0,12.90322581,0.806451613,0,B
56.4516129,0,0,12.90322581,1.612903226,0.4536,B
64.51612903,0.806451613,0,15.32258065,1.612903226,0.4475,B
27.77777778,0,0,6.481481481,0.925925926,0.4838,B
32.40740741,0,0,7.407407407,0.925925926,0.4838,B
48.38709677,0.806451613,0,12.90322581,0.806451613,0.0925,B
0,0,0,0,0,0,B
321.4285714,25,12.5,7.142857143,0,0,C
321.4285714,25,12.5,7.142857143,0,0,C
321.4285714,25,12.5,7.142857143,0,0,C
250,25,12.5,2.5,0,1.893939394,C
30.3030303,2.525252525,1.262626263,0.252525253,0,1.515151515,B
190.4761905,2.380952381,2.380952381,23.80952381,2.380952381,0.45,C
200,1.666666667,0,23.33333333,1.666666667,0,C
46.875,1.5625,0,7.03125,1.5625,0.010416667,A
55.11811024,1.57480315,0,8.661417323,1.57480315,0,A
46.875,1.5625,0,8.59375,0,0,B
47.24409449,1.57480315,0,7.086614173,1.57480315,0,A
800,0,13.33333333,0,0,0.875,E
261.9047619,15.47619048,2.380952381,20.23809524,0,0.875,C
80.35714286,17.85714286,0.446428571,0,0,0.545,A
269.5652174,12.17391304,1.739130435,44.34782609,2.608695652,0.7,C
593.75,21.875,7.8125,21.875,0,0.9275,D
372.0930233,9.302325581,0,74.41860465,6.976744186,0.910714286,C
371.4285714,8.571428571,1.428571429,77.14285714,5.714285714,1.035,C
325,7.5,0,80,5,1.035,C
269.5652174,12.17391304,1.739130435,44.34782609,1.739130435,0,C
281.25,12.5,7.8125,9.375,0,0.2325,C
250,12.5,7.8125,9.375,0,0.232067511,C
571.4285714,7.142857143,5.357142857,57.14285714,0,1.735,D
571.4285714,7.142857143,5.357142857,57.14285714,3.571428571,1.735,D
392.8571429,7.142857143,5.357142857,60.71428571,3.571428571,0.025,C
83.33333333,16.66666667,1.19047619,0,0,1.6075,A
236.1111111,11.80555556,6.25,22.22222222,1.388888889,1.6075,C
265.625,10.9375,7.03125,21.09375,1.5625,0.887096774,C
375,5,0,85,0,0.0425,D
400,0,0,100,0,2,D
400,0,0,100,0,1.909090909,D
535.7142857,7.142857143,1.785714286,53.57142857,3.571428571,2.355769231,C
535.7142857,7.142857143,3.571428571,53.57142857,3.571428571,1.727272727,C
535.7142857,7.142857143,3.571428571,53.57142857,3.571428571,1.681818182,C
535.7142857,7.142857143,3.571428571,53.57142857,3.571428571,0,C
535.7142857,7.142857143,1.785714286,53.57142857,3.571428571,0,C
535.7142857,7.142857143,1.785714286,53.57142857,3.571428571,1.428571429,C
535.7142857,7.142857143,1.785714286,53.57142857,3.571428571,1.3625,C
405.4054054,8.108108108,0,81.08108108,5.405405405,0,C
66.66666667,0,0,13.33333333,0,1.0575,B
266.6666667,6.666666667,0,60,0,1.607142857,C
236.8421053,2.631578947,0,55.26315789,0,1.166666667,D
300,0,0,60,0,0.416666667,D
244.4444444,0,0,66.66666667,22.22222222,0.9375,C
482.7586207,3.448275862,8.620689655,68.96551724,3.448275862,0.483870968,D
448.2758621,3.448275862,8.620689655,68.96551724,3.448275862,0.685483871,D
461.5384615,3.846153846,7.692307692,73.07692308,0,0.833333333,E
50,1.666666667,0,10,3.333333333,0.859375,A
11.11111111,0,0,3.333333333,1.111111111,1.224747475,A
392.8571429,25,10.71428571,7.142857143,0,0,C
500,6.666666667,3.333333333,63.33333333,3.333333333,0.223214286,D
111.1111111,5.555555556,0,22.22222222,0,0,B
128.5714286,0,0,28.57142857,0,2.5,C
216.2162162,0,0,56.75675676,0,1.192307692,D
194.4444444,0,0,44.44444444,0,0.7225,D
138.8888889,0,0,33.33333333,0,1.061946903,C
25,0,0,6.666666667,0,1.039823009,B
200,3.333333333,1.666666667,16.66666667,0,0,C
150,3.333333333,3.333333333,10,0,1.160714286,C
140.625,3.125,3.125,12.5,0,0.864583333,C
233.3333333,3.333333333,3.333333333,13.33333333,0,0.418,C
200,3.333333333,1.666666667,16.66666667,0,13.33333333,C
333.3333333,23.80952381,11.9047619,2.380952381,0,14.16666667,C
428.5714286,21.42857143,16.66666667,4.761904762,0,16.04166667,D
19.44444444,0,0,5,0,16.04166667,B
19.02748414,0,0,4.862579281,0,9.375,B
33.82663848,0,0,8.456659619,0,1.696428571,B
298.245614,10.52631579,0.877192982,50.87719298,1.754385965,3.69047619,C
287.5,10,0.625,52.5,1.25,0,C
285.7142857,10.71428571,1.785714286,53.57142857,0,2.083333333,C
262.5,7.5,0.625,47.5,2.5,0,C
272.7272727,6.818181818,0,50,2.272727273,0,C
257.5757576,7.575757576,0,45.45454545,1.515151515,1.288546256,C
500,0,0,66.66666667,0,0,D
392.8571429,35.71428571,16.07142857,3.571428571,0,0.833333333,C
392.8571429,25,17.85714286,0,0,0.635245902,C
392.8571429,21.42857143,17.85714286,3.571428571,0,0.655737705,C
344.8275862,0,1.724137931,72.4137931,3.448275862,0.691489362,D
350,10,0,58.33333333,20,0.691489362,C
210.5263158,14.47368421,1.973684211,15.78947368,2.631578947,0.691489362,A
0,0,0,0,0,0,B
266.6666667,0,3.333333333,16.66666667,0,0,C
26.66666667,0,3.333333333,16.66666667,0,0.25,C
50,0,0,10,0,0.46875,B
166.6666667,0,1.666666667,10,0,1.015625,C
3.333333333,0,6.666666667,3.333333333,0,1.015625,C
266.6666667,0,3.333333333,10,0,1.323529412,C
866.6666667,0,13.33333333,13.33333333,0,0,E
177.7777778,0,16.66666667,22.22222222,0,0,D
400,0,6.666666667,13.33333333,0,0,D
433.3333333,0,8.333333333,3.333333333,0,0.655737705,D
566.6666667,3.333333333,10,3.333333333,0,0.538461538,D
300,0,3.33,10,0,0,C
100,0,0,20,0,0.663265306,C
400,0,5,20,0,0.578512397,D
300,0,3.333333333,30,0,0.175,D
607.1428571,28.57142857,8.928571429,14.28571429,10.71428571,0,C
600,20,5,16.66666667,10,0,C
600,20,5,20,10,0,C
566.6666667,16.66666667,8.333333333,30,3.333333333,0,D
566.6666667,16.66666667,8.333333333,30,3.333333333,0,D
566.6666667,16.66666667,8.333333333,30,3.333333333,0,D
566.6666667,16.66666667,3.333333333,30,10,0,C
700,6.666666667,11.66666667,13.33333333,6.666666667,0,D
531.25,12.5,4.6875,37.5,6.25,0,C
500,12.5,4.6875,40.625,6.25,0,C
500,12.5,6.25,46.875,6.25,0,D
437.5,6.25,6.25,68.75,3.125,0,D
531.25,18.75,4.6875,40.625,6.25,1.517857143,C
468.75,9.375,10.9375,59.375,6.25,1.517857143,D
531.25,18.75,10.9375,46.875,6.25,1.517857143,D
531.25,15.625,4.6875,40.625,9.375,1.6875,C
500,9.375,9.375,53.125,6.25,0.157828283,D
400,5,0,77.5,5,0.922619048,C
45.83333333,0,0,11.25,0,0.875,B
0,0,0,0,0,0.8203125,B
75,0.833333333,0,17.5,1.25,0.94488189,B
58.33333333,0,0,15,0,0.91796875,C
20.83333333,0.416666667,0,4.583333333,0.833333333,0.94488189,B
18.75,0.833333333,0,4.166666667,0.833333333,0,A
47.22222222,0,0,12.5,0,2.053571429,B
47.22222222,0,0,12.77777778,0,0,B
36.11111111,0,0,12.77777778,0,0.456521739,B
347.826087,26.08695652,17.39130435,4.347826087,0,1.015625,C
321.4285714,25,16.07142857,3.571428571,0,1.511627907,C
515,6.06,10.6,63.6,6.06,1.285714286,D
71.42857143,0,0,17.46031746,1.587301587,0,B
0,0,0,25,2,0.434782609,C
45.90163934,0,0,11.47540984,1.639344262,3.75,B
45.83333333,0,0,11.25,0,3.515625,B
61.5,1.54,0,13.1,1.54,1.25,B
48,2.4,0.4,7.2,0,0.982142857,B
92.3,5.38,0,16.2,3.85,0.401785714,A
120,7,0,22,6,0.416666667,A
92.30769231,5.384615385,0,16.15384615,3.846153846,1.145833333,A
92.30769231,4.615384615,0,15.38461538,3.076923077,1.66015625,A
