Energi (kal),Protein (g),Lemak (g),Gula (g),Serat (g),Natrium (mg),Grade
220,2,8,27,0,0.61,D
220,0,32,23,23,0.46,D
500,10,10,57,0,0.2,E
512,7,16.3,60.5,0,0.199898,E
106,5,8,22,0,0,C
500,11.9,10.7,57.1,0,0.667,E
219,16,1,19,0,0.05,B
145,2,1,3.5,0,0,B
336,19.7,16.6,1.9,0,2,C
264,6.8,0.2,62.5,0,0,C
78,12,1.4,2,0,0,A
221,8.3,4.5,14,5.2,0,A
383,6.8,14,40,0,0.7,D
30,0.9,0.1,4.9,0,15,B
26,0.9,0.1,4,0,0.6,B
563,0,18.8,51.6,0,0.6,E
25,5,1,85,0,2.2,C
0,0,0,10.4,0,1.1,B
282,10.3,0.5,47.6,0,0.8,C
319,28.8,7.8,0.8,0,1.9,C
435,5.9,10,66,1,1,E
312.75,7.800000191,3.329999924,52.08000183,0,2.4,D
339,0.39,0,83,0,0.52,D
68,0.6,0.1,25.2,0,0.91,C
293,1.3,1.8,18.5,0,1.6,C
293,1.3,1.8,18.5,0,0,C
266,0.1,0,65.9,0,1.3,D
260,0.2,0,64.8,0,2.23,D
298,0.5,0,71.9,3.9,8,C
260,0.6,0,62,0,0.0254,D
0,0,0,0,0,1.46,B
408,1.7,4,17,0.2,2.13,D
219,0.9,1,23.7,0,0.67,C
195,6.8,12,13,0,0,C
0,0,0,0,0,0,B
43,0,0.0001,10.7,0,0,B
1,0.1,0,0,0,1.5,B
184.75143,0.83,0.12,43.43,0,1.5,D
0,0.1,0.1,97,0,1.7,C
586,9.3,32.7,37.8,0,0.1,E
344,8.6,0.1,74.7,0,0,C
349,13.3,0.2,64,0,0.03,C
358,13,0.6,72.2,14.2,0.03,C
0,0,0,0,0,2.38252,B
419,11.9,2.7,56.3,0,2.2,D
268,28,7,1.3,0,2,C
575,11.1,4.2,41.7,4.5,8.5,C
367,5.6,14,40,0,0,E
420,6,8,60,4,0,D
108,5.5,2.9,6.2,1.5,0,A
81,18.3,0.1,0.1,0.1,0,A
168,18.9,1.4,0,0,0,A
137,2.2,1.6,24,2.2,0,C
201,2.5,0.8,24,2.5,0.02,C
49,1,0.1,9.2,0,0,B
112,5,2.2,11.4,0,0.03,B
198,15.3,1,17.6,0,0.01,B
230,8.5,3.3,25.5,0,0,C
108,11.8,0.4,9.3,0.5,0,A
190,5.2,8.2,19,0,0,D
149,7.8,2.7,16.1,0,0.147,B
77,6.1,0.5,9.7,0,0.1,A
126,6.5,2.3,10.5,0,0.625,B
305,6.5,1.6,32.5,0,0.9,C
382,7.2,11.2,33,0,0.3,D
72,11,0.2,4.8,0,0.1,A
188,2.5,0.8,23,0,1,C
203,8.4,3.5,26.9,0,1.3,C
162,8.2,1.7,17,0.9,0.2,B
194,8.3,1.6,21.2,0,0.8,B
211,15,7.2,3.2,0,1.8,C
109,17.7,1.2,2,0,1.2,A
200,21.3,4.2,1.9,0,1,B
103,20,0.5,0.3,0,0.25,A
278,5.9,7,24,2.7,1.3,C
591,2.8,6.1,12,0,0.82,D
64,1.5,0.9,8.6,0,0.79,B
51,1.6,1.2,4.1,3,0.53,A
138,3.4,6.3,6,0,1,C
176,4.8,8.1,4.4,0,1,C
111,4.7,1.1,4.3,0,1.2,B
270,2.1,7.4,35.1,0,1,D
403,6.1,18.46,29.4,0,0.73,D
243,2.9,1.9,16,0,1.2,C
